|26/12/2016 ás 15:45:00|  Iniciando tela de Splash...
|26/12/2016 ás 15:45:02|  Esperando Login no Banco de Dados...
|26/12/2016 ás 15:45:07|  Conectando arioneguedes.com.br...
|26/12/2016 ás 15:45:07|  ...(Fonte)Falha = Communications link failure

Last packet sent to the server was 0 ms ago.
|26/12/2016 ás 15:45:27|  Conectando arioneguedes.com.br...
|26/12/2016 ás 15:45:35|  ...Sucesso
|26/12/2016 ás 15:45:35|  Executando SQL (SELECT * FROM guedes_tecnoar.usuario)...
|26/12/2016 ás 15:45:35|  ...Sucesso
|26/12/2016 ás 15:45:38|  LOGOU COM SUCESSO: guedesesso
|26/12/2016 ás 15:45:38|  Iniciando Aplicativo...
|26/12/2016 ás 15:45:41|  Executando SQL (select * from guedes_tecnoar.cliente ORDER BY id DESC LIMIT 6)...
|26/12/2016 ás 15:45:41|  ...Sucesso
|26/12/2016 ás 15:46:04|  Executando SQL (select * from guedes_tecnoar.cliente WHERE nome LIKE '%%' order by nome ASC limit 10)...
|26/12/2016 ás 15:46:05|  ...Sucesso
|26/12/2016 ás 15:46:44|  Executando SQL (select * from guedes_tecnoar.servicos WHERE id_cliente=0 ORDER BY id DESC LIMIT 5)...
|26/12/2016 ás 15:46:44|  ...Sucesso
|26/12/2016 ás 15:46:50|  Executando SQL (select * from guedes_tecnoar.servicos WHERE id_cliente=0 ORDER BY id DESC LIMIT 5)...
|26/12/2016 ás 15:46:50|  ...Sucesso
|26/12/2016 ás 15:46:50|  Executando SQL (select * from guedes_tecnoar.cliente WHERE nome LIKE '%ar%')...
|26/12/2016 ás 15:46:51|  ...Sucesso
|26/12/2016 ás 15:46:51|  Executando SQL (select * from guedes_tecnoar.servicos WHERE id_cliente=1 ORDER BY id DESC LIMIT 5)...
|26/12/2016 ás 15:46:51|  ...Sucesso
|26/12/2016 ás 15:47:25|  Executando SQL (select * from guedes_tecnoar.servicos WHERE id=4 limit 1)...
|26/12/2016 ás 15:47:25|  ...Sucesso
|26/12/2016 ás 15:47:29|  Relatório 1 criado com sucesso!
|26/12/2016 ás 15:48:21|  Executando SQL (select * from guedes_tecnoar.servicos WHERE id_cliente=0 ORDER BY id DESC LIMIT 5)...
|26/12/2016 ás 15:48:21|  ...Sucesso
|26/12/2016 ás 15:48:24|  Executando SQL (select * from guedes_tecnoar.servicos WHERE id_cliente=0 ORDER BY id DESC LIMIT 5)...
|26/12/2016 ás 15:48:24|  ...Sucesso
|26/12/2016 ás 15:48:24|  Executando SQL (select * from guedes_tecnoar.cliente WHERE nome LIKE '%ar%')...
|26/12/2016 ás 15:48:25|  ...Sucesso
|26/12/2016 ás 15:48:25|  Executando SQL (select * from guedes_tecnoar.servicos WHERE id_cliente=1 ORDER BY id DESC LIMIT 5)...
|26/12/2016 ás 15:48:25|  ...Sucesso
|26/12/2016 ás 15:48:28|  Executando SQL (select * from guedes_tecnoar.servicos WHERE id=4 limit 1)...
|26/12/2016 ás 15:48:28|  ...Sucesso
|26/12/2016 ás 15:48:29|  Relatório 1 criado com sucesso!
